date,nnl-bettis,nnl-knolls,nnl-ks,nnl-nptu,nnl-nrf,nnl-ls,non-nnl-bettis,non-nnl-knolls,non-nnl-ks,non-nnl-nptu,non-nnl-nrf,non-nnl-ls
4/4/2021,237,139,76,36,340,19,19,10,161,219,40,0
4/3/2021,237,139,76,36,340,19,19,10,161,219,40,0
4/2/2021,237,139,76,36,340,19,19,10,161,219,40,0
4/1/2021,235,138,76,36,339,19,19,10,161,219,40,0
3/31/2021,234,137,76,36,338,19,17,10,161,219,40,0
3/30/2021,234,136,76,35,337,19,17,10,161,219,40,0
3/29/2021,234,135,76,35,336,19,17,10,159,219,40,0
3/28/2021,230,132,76,35,333,19,17,10,158,218,40,0
3/27/2021,229,132,73,35,333,19,17,10,158,218,40,0
3/26/2021,229,132,73,34,333,19,17,10,158,218,40,0
3/25/2021,228,131,73,34,332,19,17,10,158,218,40,0
3/24/2021,228,131,73,34,331,19,17,10,158,218,39,0
3/23/2021,225,131,72,33,329,19,17,10,157,217,39,0
3/22/2021,225,131,72,33,329,19,17,10,157,214,39,0
3/21/2021,220,131,71,33,327,19,17,10,157,214,39,0
3/20/2021,220,131,71,33,326,19,17,10,157,214,39,0
3/19/2021,219,131,71,33,326,19,17,10,157,214,39,0
3/18/2021,216,131,71,33,324,19,15,10,157,213,39,0
3/17/2021,216,131,70,33,322,19,15,10,157,213,39,0
3/16/2021,216,131,70,33,321,19,15,10,157,213,39,0
3/15/2021,216,131,70,33,320,19,15,10,157,213,39,0
3/14/2021,215,131,70,33,320,19,15,10,157,212,38,0
3/13/2021,213,131,70,33,318,19,15,10,157,212,38,0
3/12/2021,213,131,70,33,315,19,15,10,157,212,37,0
3/11/2021,213,131,70,33,313,19,15,10,157,212,37,0
3/10/2021,212,131,70,33,310,19,15,10,157,212,37,0
3/9/2021,211,130,70,32,306,19,15,10,156,211,34,0
3/8/2021,209,130,70,32,300,19,15,10,156,209,34,0
3/7/2021,208,130,70,32,294,19,15,10,156,206,34,0
3/6/2021,208,130,69,32,293,19,15,10,156,206,34,0
3/5/2021,207,130,69,32,291,19,15,10,156,206,34,0
3/4/2021,207,130,67,32,288,19,15,10,155,205,34,0
3/3/2021,205,128,65,32,286,19,15,10,155,203,34,0
3/2/2021,205,125,65,32,283,19,14,10,155,203,34,0
3/1/2021,205,125,65,32,280,19,14,10,153,201,34,0
2/28/2021,205,123,65,32,278,19,14,10,153,194,33,0
2/27/2021,205,122,67,32,278,19,14,10,153,194,33,0
2/26/2021,205,121,66,32,277,19,14,10,153,194,33,0
2/25/2021,203,119,65,32,277,19,14,10,153,187,33,0
2/24/2021,203,117,65,32,277,19,14,10,153,184,33,0
2/23/2021,203,115,65,32,276,19,14,10,151,182,33,0
2/22/2021,203,114,65,31,276,19,14,10,151,180,33,0
2/21/2021,201,113,65,31,275,19,14,10,150,178,33,0
2/20/2021,199,112,65,31,274,19,14,10,150,178,33,0
2/19/2021,199,111,63,30,273,19,14,10,148,178,33,0
2/18/2021,197,111,63,30,272,19,14,10,148,177,33,0
2/17/2021,197,111,63,30,270,19,14,10,148,177,33,0
2/16/2021,195,111,61,29,270,19,14,10,148,177,33,0
2/15/2021,194,111,61,29,269,19,14,10,148,174,33,0
2/14/2021,193,109,60,29,269,19,14,10,148,174,33,0
2/13/2021,192,109,60,29,269,19,14,10,148,174,33,0
2/12/2021,191,109,60,29,269,19,14,10,148,174,33,0
2/11/2021,189,108,60,29,269,19,14,10,147,174,33,0
2/10/2021,189,107,60,29,269,19,14,10,147,173,33,0
2/9/2021,187,106,60,29,269,19,14,10,143,172,33,0
2/8/2021,186,106,60,28,268,19,14,10,143,172,33,0
2/7/2021,185,106,60,28,268,19,14,10,141,172,33,0
2/6/2021,184,106,59,28,268,19,14,10,141,172,33,0
2/5/2021,184,106,58,28,268,19,13,10,141,172,33,0
2/4/2021,184,105,58,28,268,18,13,10,141,172,33,0
2/3/2021,181,104,57,28,268,18,13,10,137,170,33,0
2/2/2021,180,103,55,27,268,18,13,10,134,167,33,0
2/1/2021,179,102,55,27,268,18,13,10,131,166,33,0
1/31/2021,175,102,52,27,268,18,13,10,123,165,33,0
1/30/2021,175,102,50,27,267,18,13,10,123,165,33,0
1/29/2021,175,102,50,26,267,18,13,10,123,165,33,0
1/28/2021,175,102,49,26,267,18,13,9,121,165,33,0
1/27/2021,173,102,49,26,265,18,13,9,117,165,33,0
1/26/2021,172,102,49,26,265,16,13,9,112,163,33,0
1/25/2021,171,102,48,26,265,16,13,9,112,161,33,0
1/24/2021,170,101,47,26,265,16,13,9,112,158,33,0
1/23/2021,169,101,47,26,265,16,13,9,112,158,33,0
1/22/2021,168,101,46,26,264,16,13,9,111,158,33,0
1/21/2021,168,100,45,26,264,16,13,9,111,157,33,0
1/20/2021,167,98,42,26,264,16,13,9,110,156,33,0
1/19/2021,167,98,41,26,261,16,13,9,109,148,33,0
1/18/2021,165,98,40,26,260,14,12,9,107,144,33,0
1/17/2021,163,93,39,26,258,12,11,9,101,144,32,0
1/16/2021,160,93,39,26,258,12,11,9,101,144,32,0
1/15/2021,158,92,39,26,258,12,11,9,101,144,32,0
1/14/2021,155,90,39,26,257,12,11,9,101,141,32,0
1/13/2021,155,90,37,26,256,12,11,9,101,140,32,0
1/12/2021,154,89,37,26,255,12,11,9,100,138,32,0
1/11/2021,154,88,36,26,252,11,11,9,99,134,32,0
1/10/2021,152,88,35,26,250,10,10,9,95,132,32,0
1/9/2021,150,88,35,26,249,10,10,9,95,132,32,0
1/8/2021,149,86,34,26,249,10,10,8,95,132,32,0
1/7/2021,147,85,31,26,249,10,10,8,95,132,32,0
1/6/2021,144,84,29,26,248,10,10,8,93,132,32,0
1/5/2021,143,79,29,26,247,9,10,7,93,132,32,0
1/4/2021,142,78,29,26,245,9,10,7,93,132,31,0
1/3/2021,139,72,28,25,244,9,10,7,87,130,31,0
1/2/2021,139,71,27,25,240,9,10,7,87,130,31,0
1/1/2021,139,69,26,25,240,9,10,7,87,130,31,0
12/31/2020,139,67,26,25,240,9,10,6,87,130,31,0
12/30/2020,137,67,24,25,238,9,10,6,86,129,31,0
12/29/2020,135,66,24,25,238,9,10,6,86,129,31,0
12/28/2020,132,64,23,25,238,9,9,6,83,129,31,0
12/27/2020,126,57,23,24,238,9,9,5,82,121,31,0
12/26/2020,125,57,23,24,236,9,9,5,82,121,31,0
12/25/2020,122,57,23,24,235,9,9,5,82,121,31,0
12/24/2020,122,57,23,24,235,9,9,5,82,121,31,0
12/23/2020,120,56,22,22,235,9,9,5,81,121,31,0
12/22/2020,117,54,22,20,232,9,8,5,81,121,31,0
12/21/2020,111,53,22,18,229,9,8,5,80,121,31,0
12/20/2020,105,50,22,15,229,9,8,4,80,121,31,0
12/19/2020,105,47,22,15,229,9,8,3,80,121,31,0
12/18/2020,102,47,22,13,226,9,8,3,80,121,31,0
12/17/2020,99,47,21,11,223,9,8,3,80,119,31,0
12/16/2020,95,44,21,9,219,9,8,3,79,117,31,0
12/15/2020,94,44,21,9,218,9,7,3,79,116,31,0
12/14/2020,92,44,21,9,217,9,7,3,79,116,31,0
12/13/2020,82,42,20,9,215,9,7,2,79,112,31,0
12/12/2020,78,42,20,9,214,8,7,2,79,112,31,0
12/11/2020,74,41,20,9,212,8,7,2,78,112,31,0
12/10/2020,71,40,19,9,205,8,7,2,76,109,31,0
12/9/2020,66,39,19,9,202,8,7,2,76,108,31,0
12/8/2020,64,38,18,9,200,8,7,2,73,108,31,0
12/7/2020,59,35,18,9,200,7,6,2,73,108,31,0
12/6/2020,53,31,17,9,195,7,4,2,73,106,30,0
12/5/2020,53,30,16,9,195,7,4,2,73,106,30,0
12/4/2020,53,30,16,9,195,6,4,2,73,106,30,0
12/3/2020,53,30,15,9,195,6,4,2,71,106,30,0
12/2/2020,53,30,15,9,195,3,4,2,70,105,30,0
12/1/2020,53,30,15,9,195,3,4,1,69,104,30,0
11/30/2020,53,30,15,9,195,3,4,1,69,100,30,0
11/29/2020,53,27,14,9,195,3,4,1,68,98,30,0
11/28/2020,50,26,13,9,193,3,4,1,67,98,30,0
11/27/2020,50,25,13,9,193,3,4,1,67,98,29,0
11/26/2020,49,25,13,9,193,3,4,1,67,98,29,0
11/25/2020,47,24,13,9,193,3,4,1,67,98,29,0
11/24/2020,46,24,13,9,190,3,4,1,67,95,28,0
11/23/2020,43,22,13,9,187,3,4,1,66,94,28,0
11/22/2020,38,22,13,9,185,3,4,1,65,94,28,0
11/21/2020,37,19,13,9,185,3,4,1,65,94,28,0
11/20/2020,36,19,13,9,184,3,4,1,65,94,28,0
11/19/2020,35,18,13,9,183,3,4,1,65,93,27,0
11/18/2020,35,18,12,9,180,3,4,1,65,93,25,0
11/17/2020,34,17,11,9,179,3,4,1,65,92,25,0
11/16/2020,31,16,11,9,179,3,4,1,65,89,25,0
11/15/2020,27,15,11,9,178,3,4,1,64,88,23,0
11/14/2020,27,15,11,9,178,3,4,1,64,88,23,0
11/13/2020,27,15,11,9,177,3,4,1,64,88,23,0
11/12/2020,24,15,11,9,175,3,4,1,64,88,23,0
11/11/2020,24,15,11,9,173,3,4,1,62,88,23,0
11/10/2020,23,14,10,9,173,3,4,1,62,88,23,0
11/9/2020,20,12,10,9,169,3,4,1,62,87,23,0
11/8/2020,20,11,10,9,169,3,4,1,62,85,22,0
11/7/2020,20,10,10,9,169,3,4,1,62,85,22,0
11/6/2020,20,10,10,9,167,3,4,1,62,85,22,0
11/5/2020,19,10,10,9,166,3,4,1,62,85,22,0
11/4/2020,19,10,10,9,165,3,4,1,62,85,21,0
11/3/2020,19,10,10,9,164,3,4,1,62,83,16,0
11/2/2020,19,10,10,9,164,3,4,1,62,82,16,0
11/1/2020,19,10,10,9,159,3,4,1,62,81,16,0
10/31/2020,19,10,10,9,159,3,4,1,62,80,16,0
10/30/2020,19,9,10,9,159,3,4,1,62,79,16,0
10/29/2020,19,9,10,9,157,3,4,1,62,78,16,0
10/28/2020,19,9,10,9,156,3,4,1,62,77,16,0
10/27/2020,19,9,10,9,150,3,4,1,61,76,16,0
10/26/2020,19,9,10,9,145,3,4,1,61,74,16,0
10/25/2020,19,9,10,9,139,3,4,1,61,72,16,0
10/24/2020,19,9,10,9,139,3,4,1,61,70,15,0
10/23/2020,18,9,10,9,136,3,4,1,60,68,15,0
10/22/2020,18,9,10,9,132,3,4,1,60,66,15,0
10/21/2020,18,9,10,9,129,3,4,1,60,64,15,0
10/20/2020,18,9,10,9,122,3,4,1,60,62,15,0
10/19/2020,18,9,10,9,121,3,4,1,60,62,14,0
10/18/2020,17,9,10,7,116,2,4,1,60,61,13,0
10/17/2020,17,9,10,7,115,2,4,1,60,60,13,0
10/16/2020,17,9,10,7,115,2,4,1,60,58,13,0
10/15/2020,17,9,10,7,114,2,4,1,60,57,13,0
10/14/2020,17,9,10,7,113,2,4,1,60,56,13,0
10/13/2020,17,9,10,7,113,2,4,1,60,56,13,0
10/12/2020,17,8,10,7,111,2,4,1,60,56,12,0
10/11/2020,16,8,10,7,109,2,4,1,60,56,12,0
10/10/2020,16,8,10,7,107,2,4,1,60,56,12,0
10/9/2020,16,8,10,7,106,2,4,1,60,56,12,0
10/8/2020,16,8,10,7,104,2,3,1,60,56,12,0
10/7/2020,16,8,10,7,102,2,3,1,60,56,12,0
10/6/2020,16,8,10,7,100,2,3,1,59,56,12,0
10/5/2020,16,8,10,7,99,2,3,1,59,56,10,0
10/3/2020,16,8,10,7,97,2,3,1,59,56,10,0
10/2/2020,16,8,10,7,96,2,3,1,59,56,10,0
10/1/2020,16,8,10,6,95,2,3,1,59,54,10,0
9/28/2020,15,8,10,6,92,2,3,1,59,54,9,0
9/27/2020,15,8,10,6,90,2,3,1,59,54,9,0
9/26/2020,15,8,10,6,89,2,3,1,59,54,9,0
9/25/2020,15,8,10,6,88,2,3,1,59,54,9,0
9/23/2020,15,8,10,6,88,2,3,1,59,54,7,0
9/21/2020,15,8,10,6,85,2,3,0,59,52,7,0
9/17/2020,15,8,10,6,83,2,3,0,59,52,7,0
9/16/2020,15,8,10,6,81,2,3,0,59,50,7,0
9/15/2020,15,8,10,6,80,2,3,0,59,50,7,0
9/14/2020,15,8,10,6,80,2,3,0,59,48,6,0
9/10/2020,15,8,10,6,78,2,3,0,59,48,6,0
9/9/2020,15,8,10,6,77,2,3,0,59,48,6,0
9/8/2020,15,8,10,6,76,2,3,0,59,47,4,0
9/3/2020,15,8,10,5,76,2,3,0,59,47,4,0
9/2/2020,14,7,10,5,76,2,3,0,59,47,4,0
9/1/2020,14,7,10,5,75,2,2,0,59,47,4,0
8/31/2020,14,7,10,5,75,2,2,0,59,46,4,0
8/26/2020,13,7,10,5,71,2,2,0,59,48,4,0
8/24/2020,13,7,10,5,71,2,2,0,59,47,4,0
8/21/2020,13,7,10,5,69,2,2,0,58,47,4,0
8/20/2020,13,7,10,5,66,2,2,0,58,47,4,0
8/18/2020,13,7,10,5,63,2,2,0,58,47,4,0
8/17/2020,13,7,10,5,57,2,2,0,57,47,4,0
8/14/2020,13,7,10,5,50,2,2,0,56,47,4,0
8/13/2020,13,7,10,5,45,2,2,0,56,47,4,0
8/12/2020,12,7,10,5,42,2,2,0,56,47,4,0
8/11/2020,12,7,10,5,37,2,2,0,56,47,4,0
8/10/2020,12,7,10,5,30,2,2,0,55,47,4,0
8/7/2020,12,7,10,5,16,2,2,0,55,47,3,0
8/6/2020,12,7,10,5,14,2,2,0,53,47,3,0
8/5/2020,12,7,10,5,14,2,2,0,50,47,3,0
8/4/2020,12,7,10,5,12,2,2,0,49,47,2,0
8/3/2020,12,7,10,5,11,1,2,0,46,47,2,0
7/31/2020,12,7,10,4,10,1,2,0,33,46,2,0
7/30/2020,12,7,10,4,10,1,1,0,33,44,2,0
7/29/2020,12,7,10,4,10,1,1,0,30,44,2,0
7/28/2020,12,7,10,4,10,1,1,0,28,44,2,0
7/27/2020,11,7,10,4,10,1,1,0,23,44,1,0
7/24/2020,10,7,10,4,10,1,1,0,20,43,1,0
7/23/2020,9,6,10,4,10,1,1,0,18,41,1,0
7/21/2020,9,6,9,4,10,1,1,0,18,40,1,0
7/20/2020,9,5,9,4,9,1,1,0,16,39,1,0
7/17/2020,8,5,8,4,8,1,1,0,16,39,0,0
7/16/2020,8,5,7,4,8,1,1,0,14,39,0,0
7/15/2020,8,5,7,4,8,1,1,0,13,34,0,0
7/14/2020,8,5,7,4,8,1,1,0,13,33,0,0
7/13/2020,8,5,7,4,8,1,1,0,12,30,0,0
7/10/2020,8,5,6,3,8,1,1,0,11,17,0,0
7/7/2020,8,5,5,3,8,1,1,0,11,17,0,0
7/6/2020,8,5,4,2,7,1,1,0,11,17,0,0
6/29/2020,8,5,2,2,5,1,1,0,11,11,0,0
6/22/2020,5,4,2,0,5,1,1,0,11,3,0,0
5/18/2020,5,4,2,0,3,1,1,0,11,3,0,0
4/20/2020,5,3,1,0,3,1,1,0,11,3,0,0
4/17/2020,5,3,1,0,3,1,1,0,10,3,0,0
4/8/2020,5,2,1,0,0,1,1,0,8,3,0,0
4/3/2020,5,1,0,0,0,1,0,0,8,3,0,0
3/16/2020,0,0,0,0,0,1,0,0,0,0,0,0
3/23/2020,0,1,0,0,0,1,0,0,0,0,0,0
3/24/2020,0,1,0,0,0,1,0,0,1,0,0,0
3/27/2020,0,1,0,0,0,1,0,0,1,1,0,0
3/29/2020,3,1,0,0,0,1,0,0,3,3,0,0
3/15/2020,0,0,0,0,0,0,0,0,0,0,0,0
